Tanggal_Waktu,Sumber_Koordinat,Suhu_C,Suhu_Dirasakan_C,Kelembaban,Kecepatan_Angin,Arah_Angin,Indeks_UV,Tutupan_Awan,Visibilitas_KM
2026-09-23 12:00:00+00:00,"42.3478,-71.0466",13.23,13.2,79,5.2,19,0.0,9.42,16.0
2026-09-23 13:00:00+00:00,"42.3478,-71.0466",15.53,15.5,71,7.2,38,1.0,12.96,16.0
2026-09-23 14:00:00+00:00,"42.3478,-71.0466",16.23,16.2,64,7.5,50,3.0,30.42,16.0
2026-09-23 15:00:00+00:00,"42.3478,-71.0466",16.65,16.6,60,7.6,50,4.0,57.2,16.0
2026-09-23 16:00:00+00:00,"42.3478,-71.0466",16.8,16.8,60,8.3,42,5.0,23.77,16.0
2026-09-23 17:00:00+00:00,"42.3478,-71.0466",16.77,16.8,60,7.9,45,5.0,50.92,16.0
2026-09-23 18:00:00+00:00,"42.3478,-71.0466",16.24,16.2,65,8.1,46,4.0,98.53,16.0
2026-09-23 19:00:00+00:00,"42.3478,-71.0466",15.79,15.8,68,7.6,45,3.0,100.0,16.0
2026-09-23 20:00:00+00:00,"42.3478,-71.0466",15.46,15.5,68,7.2,45,1.0,71.98,16.0
2026-09-23 21:00:00+00:00,"42.3478,-71.0466",14.92,14.9,69,6.7,42,1.0,100.0,16.0
2026-09-23 22:00:00+00:00,"42.3478,-71.0466",14.11,14.1,69,5.8,39,0.0,100.0,16.0
2026-09-23 23:00:00+00:00,"42.3478,-71.0466",12.98,13.0,64,4.9,41,0.0,87.84,16.0
2026-09-24 00:00:00+00:00,"42.3478,-71.0466",12.54,12.5,62,4.8,44,0.0,51.69,16.0
2026-09-24 01:00:00+00:00,"42.3478,-71.0466",12.1,12.1,63,4.6,46,0.0,96.48,16.0
2026-09-24 02:00:00+00:00,"42.3478,-71.0466",11.81,11.8,63,4.2,47,0.0,1.92,16.0
2026-09-24 03:00:00+00:00,"42.3478,-71.0466",11.61,11.6,63,4.2,47,0.0,100.0,16.0
2026-09-24 04:00:00+00:00,"42.3478,-71.0466",11.42,11.4,66,4.2,41,0.0,5.68,16.0
2026-09-24 05:00:00+00:00,"42.3478,-71.0466",12.08,12.1,67,5.1,45,0.0,25.34,16.0
2026-09-24 06:00:00+00:00,"42.3478,-71.0466",12.29,12.3,65,5.4,41,0.0,33.75,16.0
2026-09-24 07:00:00+00:00,"42.3478,-71.0466",12.89,12.9,66,5.4,42,0.0,99.96,16.0
2026-09-24 08:00:00+00:00,"42.3478,-71.0466",12.97,13.0,65,5.6,41,0.0,85.26,16.0
2026-09-24 09:00:00+00:00,"42.3478,-71.0466",12.68,12.7,64,5.9,39,0.0,70.4,16.0
2026-09-24 10:00:00+00:00,"42.3478,-71.0466",12.81,12.8,65,6.0,41,0.0,99.92,16.0
2026-09-24 11:00:00+00:00,"42.3478,-71.0466",12.64,12.6,61,6.2,36,0.0,96.62,16.0
2026-09-24 12:00:00+00:00,"42.3478,-71.0466",13.62,13.6,60,7.0,41,0.0,96.05,16.0
2026-09-24 13:00:00+00:00,"42.3478,-71.0466",13.84,13.8,61,7.6,39,1.0,100.0,16.0
2026-09-24 14:00:00+00:00,"42.3478,-71.0466",14.09,14.1,62,7.9,40,3.0,100.0,16.0
2026-09-24 15:00:00+00:00,"42.3478,-71.0466",14.8,14.8,61,8.0,41,4.0,86.91,16.0
2026-09-24 16:00:00+00:00,"42.3478,-71.0466",14.71,14.7,61,7.8,42,5.0,78.47,16.0
2026-09-24 17:00:00+00:00,"42.3478,-71.0466",15.02,15.0,61,7.8,34,5.0,100.0,16.0
2026-09-24 18:00:00+00:00,"42.3478,-71.0466",15.13,15.1,58,8.0,37,4.0,100.0,16.0
2026-09-24 19:00:00+00:00,"42.3478,-71.0466",15.08,15.1,58,7.5,34,3.0,100.0,16.0
2026-09-24 20:00:00+00:00,"42.3478,-71.0466",14.88,14.9,59,7.2,34,1.0,100.0,16.0
2026-09-24 21:00:00+00:00,"42.3478,-71.0466",14.04,14.0,63,6.6,35,0.0,100.0,16.0
2026-09-24 22:00:00+00:00,"42.3478,-71.0466",13.43,13.4,64,6.2,29,0.0,99.14,16.0
2026-09-24 23:00:00+00:00,"42.3478,-71.0466",12.66,12.7,66,5.0,26,0.0,100.0,16.0
2026-09-25 00:00:00+00:00,"42.3478,-71.0466",12.0,12.0,66,4.9,21,0.0,92.5,16.0
2026-09-25 01:00:00+00:00,"42.3478,-71.0466",11.61,11.6,65,3.7,10,0.0,100.0,16.0
2026-09-25 02:00:00+00:00,"42.3478,-71.0466",11.49,11.5,59,4.7,13,0.0,100.0,16.0
2026-09-25 03:00:00+00:00,"42.3478,-71.0466",11.78,11.8,57,4.3,15,0.0,100.0,16.0
2026-09-25 04:00:00+00:00,"42.3478,-71.0466",11.43,11.4,60,4.9,11,0.0,100.0,16.0
